home,away,home_goals,away_goals,date,league
liverpool,arsenal,1,1,2023-12-23,Premier League
wolves,chelsea,2,1,2023-12-24,Premier League
newcastle,nott'm forest,1,3,2023-12-26,Premier League
bournemouth,fulham,3,0,2023-12-26,Premier League
sheffield united,luton,2,3,2023-12-26,Premier League
burnley,liverpool,0,2,2023-12-26,Premier League
man united,aston villa,3,2,2023-12-26,Premier League
brentford,wolves,1,4,2023-12-27,Premier League
chelsea,crystal palace,2,1,2023-12-27,Premier League
everton,man city,1,3,2023-12-27,Premier League
brighton,tottenham,4,2,2023-12-28,Premier League
arsenal,west ham,0,2,2023-12-28,Premier League
luton,chelsea,2,3,2023-12-30,Premier League
aston villa,burnley,3,2,2023-12-30,Premier League
crystal palace,brentford,3,1,2023-12-30,Premier League
man city,sheffield united,2,0,2023-12-30,Premier League
wolves,everton,3,0,2023-12-30,Premier League
nott'm forest,man united,2,1,2023-12-30,Premier League
fulham,arsenal,2,1,2023-12-31,Premier League
tottenham,bournemouth,3,1,2023-12-31,Premier League
liverpool,newcastle,4,2,2024-01-01,Premier League
west ham,brighton,0,0,2024-01-02,Premier League
burnley,luton,1,1,2024-01-12,Premier League
chelsea,fulham,1,0,2024-01-13,Premier League
newcastle,man city,2,3,2024-01-13,Premier League
everton,aston villa,0,0,2024-01-14,Premier League
man united,tottenham,2,2,2024-01-14,Premier League
arsenal,crystal palace,5,0,2024-01-20,Premier League
brentford,nott'm forest,3,2,2024-01-20,Premier League
sheffield united,west ham,2,2,2024-01-21,Premier League
bournemouth,liverpool,0,4,2024-01-21,Premier League
brighton,wolves,0,0,2024-01-22,Premier League
nott'm forest,arsenal,1,2,2024-01-30,Premier League
fulham,everton,0,0,2024-01-30,Premier League
luton,brighton,4,0,2024-01-30,Premier League
crystal palace,sheffield united,3,2,2024-01-30,Premier League
aston villa,newcastle,1,3,2024-01-30,Premier League
man city,burnley,3,1,2024-01-31,Premier League
tottenham,brentford,3,2,2024-01-31,Premier League
liverpool,chelsea,4,1,2024-01-31,Premier League
west ham,bournemouth,1,1,2024-02-01,Premier League
wolves,man united,3,4,2024-02-01,Premier League
everton,tottenham,2,2,2024-02-03,Premier League
brighton,crystal palace,4,1,2024-02-03,Premier League
burnley,fulham,2,2,2024-02-03,Premier League
newcastle,luton,4,4,2024-02-03,Premier League
sheffield united,aston villa,0,5,2024-02-03,Premier League
bournemouth,nott'm forest,1,1,2024-02-04,Premier League
chelsea,wolves,2,4,2024-02-04,Premier League
man united,west ham,3,0,2024-02-04,Premier League
arsenal,liverpool,3,1,2024-02-04,Premier League
brentford,man city,1,3,2024-02-05,Premier League
man city,everton,2,0,2024-02-10,Premier League
fulham,bournemouth,3,1,2024-02-10,Premier League
liverpool,burnley,3,1,2024-02-10,Premier League
luton,sheffield united,1,3,2024-02-10,Premier League
tottenham,brighton,2,1,2024-02-10,Premier League
wolves,brentford,0,2,2024-02-10,Premier League
nott'm forest,newcastle,2,3,2024-02-10,Premier League
west ham,arsenal,0,6,2024-02-11,Premier League
aston villa,man united,1,2,2024-02-11,Premier League
crystal palace,chelsea,1,3,2024-02-12,Premier League
brentford,liverpool,1,4,2024-02-17,Premier League
burnley,arsenal,0,5,2024-02-17,Premier League
fulham,aston villa,1,2,2024-02-17,Premier League
newcastle,bournemouth,2,2,2024-02-17,Premier League
nott'm forest,west ham,2,0,2024-02-17,Premier League
tottenham,wolves,1,2,2024-02-17,Premier League
man city,chelsea,1,1,2024-02-17,Premier League
sheffield united,brighton,0,5,2024-02-18,Premier League
luton,man united,1,2,2024-02-18,Premier League
everton,crystal palace,1,1,2024-02-19,Premier League
man city,brentford,1,0,2024-02-20,Premier League
liverpool,luton,4,1,2024-02-21,Premier League
aston villa,nott'm forest,4,2,2024-02-24,Premier League
brighton,everton,1,1,2024-02-24,Premier League
crystal palace,burnley,3,0,2024-02-24,Premier League
man united,fulham,1,2,2024-02-24,Premier League
bournemouth,man city,0,1,2024-02-24,Premier League
arsenal,newcastle,4,1,2024-02-24,Premier League
wolves,sheffield united,1,0,2024-02-25,Premier League
west ham,brentford,4,2,2024-02-26,Premier League
brentford,chelsea,2,2,2024-03-02,Premier League
everton,west ham,1,3,2024-03-02,Premier League
fulham,brighton,3,0,2024-03-02,Premier League
newcastle,wolves,3,0,2024-03-02,Premier League
nott'm forest,liverpool,0,1,2024-03-02,Premier League
tottenham,crystal palace,3,1,2024-03-02,Premier League
luton,aston villa,2,3,2024-03-02,Premier League
burnley,bournemouth,0,2,2024-03-03,Premier League
man city,man united,3,1,2024-03-03,Premier League
sheffield united,arsenal,0,6,2024-03-04,Premier League
man united,everton,2,0,2024-03-09,Premier League
bournemouth,sheffield united,2,2,2024-03-09,Premier League
crystal palace,luton,1,1,2024-03-09,Premier League
wolves,fulham,2,1,2024-03-09,Premier League
arsenal,brentford,2,1,2024-03-09,Premier League
aston villa,tottenham,0,4,2024-03-10,Premier League
brighton,nott'm forest,1,0,2024-03-10,Premier League
west ham,burnley,2,2,2024-03-10,Premier League
liverpool,man city,1,1,2024-03-10,Premier League
chelsea,newcastle,3,2,2024-03-11,Premier League
bournemouth,luton,4,3,2024-03-13,Premier League
burnley,brentford,2,1,2024-03-16,Premier League
luton,nott'm forest,1,1,2024-03-16,Premier League
fulham,tottenham,3,0,2024-03-16,Premier League
west ham,aston villa,1,1,2024-03-17,Premier League
newcastle,west ham,4,3,2024-03-30,Premier League
bournemouth,everton,2,1,2024-03-30,Premier League
chelsea,burnley,2,2,2024-03-30,Premier League
nott'm forest,crystal palace,1,1,2024-03-30,Premier League
sheffield united,fulham,3,3,2024-03-30,Premier League
tottenham,luton,2,1,2024-03-30,Premier League
aston villa,wolves,2,0,2024-03-30,Premier League
brentford,man united,1,1,2024-03-30,Premier League
liverpool,brighton,2,1,2024-03-31,Premier League
man city,arsenal,0,0,2024-03-31,Premier League
newcastle,everton,1,1,2024-04-02,Premier League
nott'm forest,fulham,3,1,2024-04-02,Premier League
bournemouth,crystal palace,1,0,2024-04-02,Premier League
burnley,wolves,1,1,2024-04-02,Premier League
west ham,tottenham,1,1,2024-04-02,Premier League
arsenal,luton,2,0,2024-04-03,Premier League
brentford,brighton,0,0,2024-04-03,Premier League
man city,aston villa,4,1,2024-04-03,Premier League
liverpool,sheffield united,3,1,2024-04-04,Premier League
chelsea,man united,4,3,2024-04-04,Premier League
crystal palace,man city,2,4,2024-04-06,Premier League
aston villa,brentford,3,3,2024-04-06,Premier League
everton,burnley,1,0,2024-04-06,Premier League
fulham,newcastle,0,1,2024-04-06,Premier League
luton,bournemouth,2,1,2024-04-06,Premier League
wolves,west ham,1,2,2024-04-06,Premier League
brighton,arsenal,0,3,2024-04-06,Premier League
man united,liverpool,2,2,2024-04-07,Premier League
sheffield united,chelsea,2,2,2024-04-07,Premier League
tottenham,nott'm forest,3,1,2024-04-07,Premier League
newcastle,tottenham,4,0,2024-04-13,Premier League
brentford,sheffield united,2,0,2024-04-13,Premier League
burnley,brighton,1,1,2024-04-13,Premier League
man city,luton,5,1,2024-04-13,Premier League
nott'm forest,wolves,2,2,2024-04-13,Premier League
bournemouth,man united,2,2,2024-04-13,Premier League
liverpool,crystal palace,0,1,2024-04-14,Premier League
west ham,fulham,0,2,2024-04-14,Premier League
arsenal,aston villa,0,2,2024-04-14,Premier League
chelsea,everton,6,0,2024-04-15,Premier League
luton,brentford,1,5,2024-04-20,Premier League
sheffield united,burnley,1,4,2024-04-20,Premier League
wolves,arsenal,0,2,2024-04-20,Premier League
everton,nott'm forest,2,0,2024-04-21,Premier League
aston villa,bournemouth,3,1,2024-04-21,Premier League
crystal palace,west ham,5,2,2024-04-21,Premier League
fulham,liverpool,1,3,2024-04-21,Premier League
arsenal,chelsea,5,0,2024-04-23,Premier League
wolves,bournemouth,0,1,2024-04-24,Premier League
crystal palace,newcastle,2,0,2024-04-24,Premier League
everton,liverpool,2,0,2024-04-24,Premier League
man united,sheffield united,4,2,2024-04-24,Premier League
brighton,man city,0,4,2024-04-25,Premier League
west ham,liverpool,2,2,2024-04-27,Premier League
fulham,crystal palace,1,1,2024-04-27,Premier League
man united,burnley,1,1,2024-04-27,Premier League
newcastle,sheffield united,5,1,2024-04-27,Premier League
wolves,luton,2,1,2024-04-27,Premier League
everton,brentford,1,0,2024-04-27,Premier League
aston villa,chelsea,2,2,2024-04-27,Premier League
bournemouth,brighton,3,0,2024-04-28,Premier League
tottenham,arsenal,2,3,2024-04-28,Premier League
nott'm forest,man city,0,2,2024-04-28,Premier League
chelsea,tottenham,2,0,2024-05-02,Premier League
luton,everton,1,1,2024-05-03,Premier League
arsenal,bournemouth,3,0,2024-05-04,Premier League
brentford,fulham,0,0,2024-05-04,Premier League
burnley,newcastle,1,4,2024-05-04,Premier League
sheffield united,nott'm forest,1,3,2024-05-04,Premier League
man city,wolves,5,1,2024-05-04,Premier League
brighton,aston villa,1,0,2024-05-05,Premier League
chelsea,west ham,5,0,2024-05-05,Premier League
liverpool,tottenham,4,2,2024-05-05,Premier League
crystal palace,man united,4,0,2024-05-06,Premier League
fulham,man city,0,4,2024-05-11,Premier League
bournemouth,brentford,1,2,2024-05-11,Premier League
everton,sheffield united,1,0,2024-05-11,Premier League
newcastle,brighton,1,1,2024-05-11,Premier League
tottenham,burnley,2,1,2024-05-11,Premier League
west ham,luton,3,1,2024-05-11,Premier League
wolves,crystal palace,1,3,2024-05-11,Premier League
nott'm forest,chelsea,2,3,2024-05-11,Premier League
man united,arsenal,0,1,2024-05-12,Premier League
aston villa,liverpool,3,3,2024-05-13,Premier League
tottenham,man city,0,2,2024-05-14,Premier League
brighton,chelsea,1,2,2024-05-15,Premier League
man united,newcastle,3,2,2024-05-15,Premier League
arsenal,everton,2,1,2024-05-19,Premier League
brentford,newcastle,2,4,2024-05-19,Premier League
brighton,man united,0,2,2024-05-19,Premier League
burnley,nott'm forest,1,2,2024-05-19,Premier League
chelsea,bournemouth,2,1,2024-05-19,Premier League
crystal palace,aston villa,5,0,2024-05-19,Premier League
liverpool,wolves,2,0,2024-05-19,Premier League
luton,fulham,2,4,2024-05-19,Premier League
man city,west ham,3,1,2024-05-19,Premier League
sheffield united,tottenham,0,3,2024-05-19,Premier League
crystal palace,arsenal,0,2,2022-08-05,Premier League
fulham,liverpool,2,2,2022-08-06,Premier League
bournemouth,aston villa,2,0,2022-08-06,Premier League
leeds,wolves,2,1,2022-08-06,Premier League
newcastle,nott'm forest,2,0,2022-08-06,Premier League
tottenham,southampton,4,1,2022-08-06,Premier League
everton,chelsea,0,1,2022-08-06,Premier League
leicester,brentford,2,2,2022-08-07,Premier League
man united,brighton,1,2,2022-08-07,Premier League
west ham,man city,0,2,2022-08-07,Premier League
aston villa,everton,2,1,2022-08-13,Premier League
arsenal,leicester,4,2,2022-08-13,Premier League
brighton,newcastle,0,0,2022-08-13,Premier League
man city,bournemouth,4,0,2022-08-13,Premier League
southampton,leeds,2,2,2022-08-13,Premier League
wolves,fulham,0,0,2022-08-13,Premier League
brentford,man united,4,0,2022-08-13,Premier League
nott'm forest,west ham,1,0,2022-08-14,Premier League
chelsea,tottenham,2,2,2022-08-14,Premier League
liverpool,crystal palace,1,1,2022-08-15,Premier League
tottenham,wolves,1,0,2022-08-20,Premier League
crystal palace,aston villa,3,1,2022-08-20,Premier League
everton,nott'm forest,1,1,2022-08-20,Premier League
fulham,brentford,3,2,2022-08-20,Premier League
leicester,southampton,1,2,2022-08-20,Premier League
bournemouth,arsenal,0,3,2022-08-20,Premier League
leeds,chelsea,3,0,2022-08-21,Premier League
west ham,brighton,0,2,2022-08-21,Premier League
newcastle,man city,3,3,2022-08-21,Premier League
man united,liverpool,2,1,2022-08-22,Premier League
southampton,man united,0,1,2022-08-27,Premier League
brentford,everton,1,1,2022-08-27,Premier League
brighton,leeds,1,0,2022-08-27,Premier League
chelsea,leicester,2,1,2022-08-27,Premier League
liverpool,bournemouth,9,0,2022-08-27,Premier League
man city,crystal palace,4,2,2022-08-27,Premier League
arsenal,fulham,2,1,2022-08-27,Premier League
aston villa,west ham,0,1,2022-08-28,Premier League
wolves,newcastle,1,1,2022-08-28,Premier League
nott'm forest,tottenham,0,2,2022-08-28,Premier League
crystal palace,brentford,1,1,2022-08-30,Premier League
fulham,brighton,2,1,2022-08-30,Premier League
southampton,chelsea,2,1,2022-08-30,Premier League
leeds,everton,1,1,2022-08-30,Premier League
arsenal,aston villa,2,1,2022-08-31,Premier League
bournemouth,wolves,0,0,2022-08-31,Premier League
man city,nott'm forest,6,0,2022-08-31,Premier League
west ham,tottenham,1,1,2022-08-31,Premier League
liverpool,newcastle,2,1,2022-08-31,Premier League
leicester,man united,0,1,2022-09-01,Premier League
everton,liverpool,0,0,2022-09-03,Premier League
brentford,leeds,5,2,2022-09-03,Premier League
chelsea,west ham,2,1,2022-09-03,Premier League
newcastle,crystal palace,0,0,2022-09-03,Premier League
nott'm forest,bournemouth,2,3,2022-09-03,Premier League
tottenham,fulham,2,1,2022-09-03,Premier League
wolves,southampton,1,0,2022-09-03,Premier League
aston villa,man city,1,1,2022-09-03,Premier League
brighton,leicester,5,2,2022-09-04,Premier League
man united,arsenal,3,1,2022-09-04,Premier League
aston villa,southampton,1,0,2022-09-16,Premier League
nott'm forest,fulham,2,3,2022-09-16,Premier League
wolves,man city,0,3,2022-09-17,Premier League
newcastle,bournemouth,1,1,2022-09-17,Premier League
tottenham,leicester,6,2,2022-09-17,Premier League
brentford,arsenal,0,3,2022-09-18,Premier League
everton,west ham,1,0,2022-09-18,Premier League
arsenal,tottenham,3,1,2022-10-01,Premier League
bournemouth,brentford,0,0,2022-10-01,Premier League
crystal palace,chelsea,1,2,2022-10-01,Premier League
fulham,newcastle,1,4,2022-10-01,Premier League
liverpool,brighton,3,3,2022-10-01,Premier League
southampton,everton,1,2,2022-10-01,Premier League
west ham,wolves,2,0,2022-10-01,Premier League
man city,man united,6,3,2022-10-02,Premier League
leeds,aston villa,0,0,2022-10-02,Premier League
leicester,nott'm forest,4,0,2022-10-03,Premier League
bournemouth,leicester,2,1,2022-10-08,Premier League
chelsea,wolves,3,0,2022-10-08,Premier League
man city,southampton,4,0,2022-10-08,Premier League
newcastle,brentford,5,1,2022-10-08,Premier League
brighton,tottenham,0,1,2022-10-08,Premier League
crystal palace,leeds,2,1,2022-10-09,Premier League
west ham,fulham,3,1,2022-10-09,Premier League
arsenal,liverpool,3,2,2022-10-09,Premier League
everton,man united,1,2,2022-10-09,Premier League
nott'm forest,aston villa,1,1,2022-10-10,Premier League
brentford,brighton,2,0,2022-10-14,Premier League
leicester,crystal palace,0,0,2022-10-15,Premier League
fulham,bournemouth,2,2,2022-10-15,Premier League
wolves,nott'm forest,1,0,2022-10-15,Premier League
tottenham,everton,2,0,2022-10-15,Premier League
aston villa,chelsea,0,2,2022-10-16,Premier League
leeds,arsenal,0,1,2022-10-16,Premier League
man united,newcastle,0,0,2022-10-16,Premier League
southampton,west ham,1,1,2022-10-16,Premier League
liverpool,man city,1,0,2022-10-16,Premier League
brighton,nott'm forest,0,0,2022-10-18,Premier League
crystal palace,wolves,2,1,2022-10-18,Premier League
bournemouth,southampton,0,1,2022-10-19,Premier League
brentford,chelsea,0,0,2022-10-19,Premier League
liverpool,west ham,1,0,2022-10-19,Premier League
newcastle,everton,1,0,2022-10-19,Premier League
man united,tottenham,2,0,2022-10-19,Premier League
fulham,aston villa,3,0,2022-10-20,Premier League
leicester,leeds,2,0,2022-10-20,Premier League
nott'm forest,liverpool,1,0,2022-10-22,Premier League
everton,crystal palace,3,0,2022-10-22,Premier League
man city,brighton,3,1,2022-10-22,Premier League
chelsea,man united,1,1,2022-10-22,Premier League
aston villa,brentford,4,0,2022-10-23,Premier League
leeds,fulham,2,3,2022-10-23,Premier League
southampton,arsenal,1,1,2022-10-23,Premier League
wolves,leicester,0,4,2022-10-23,Premier League
tottenham,newcastle,1,2,2022-10-23,Premier League
west ham,bournemouth,2,0,2022-10-24,Premier League
leicester,man city,0,1,2022-10-29,Premier League
bournemouth,tottenham,2,3,2022-10-29,Premier League
brentford,wolves,1,1,2022-10-29,Premier League
brighton,chelsea,4,1,2022-10-29,Premier League
crystal palace,southampton,1,0,2022-10-29,Premier League
newcastle,aston villa,4,0,2022-10-29,Premier League
fulham,everton,0,0,2022-10-29,Premier League
liverpool,leeds,1,2,2022-10-29,Premier League
arsenal,nott'm forest,5,0,2022-10-30,Premier League
man united,west ham,1,0,2022-10-30,Premier League
leeds,bournemouth,4,3,2022-11-05,Premier League
man city,fulham,2,1,2022-11-05,Premier League
nott'm forest,brentford,2,2,2022-11-05,Premier League
wolves,brighton,2,3,2022-11-05,Premier League
everton,leicester,0,2,2022-11-05,Premier League
chelsea,arsenal,0,1,2022-11-06,Premier League
aston villa,man united,3,1,2022-11-06,Premier League
southampton,newcastle,1,4,2022-11-06,Premier League
west ham,crystal palace,1,2,2022-11-06,Premier League
tottenham,liverpool,1,2,2022-11-06,Premier League
man city,brentford,1,2,2022-11-12,Premier League
bournemouth,everton,3,0,2022-11-12,Premier League
liverpool,southampton,3,1,2022-11-12,Premier League
nott'm forest,crystal palace,1,0,2022-11-12,Premier League
tottenham,leeds,4,3,2022-11-12,Premier League
